analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell,protein_source_identifier,result_unit_id,particle,assay_replicate,author_reported_lfq,author_value_state
PXD017052:Sheet1:359:EXP18102_X1116_A_MSB37290A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,359,Sheet1!BW359,;71652;71653;71654;71655;71656;71657;71658;71659;71660;71661;71662;71663;71664;71665;71666;71667;71668;71669;71670;71671;71672;71673;71674;71675;71676;71677;71678;71679;71680;71681;71682;71683;71684;71685;71686;71687;71688;71689;71690;71691;71692;71693;71694;71695;71696;71697;71698;71699;71700;71701;71702;71703;71704;71705;71706;73383;73384;73385;73386;73387;73388;73389;73390;73391;73392;73393;73394;73395;73396;73397;73398;73399;73400;73401;73402;73403;73404;73405;73406;73407;73408;73409;73410;73411;73412;73413;73414;73415;73416;73417;73418;73419;73420;73421;73422;73423;73424;73425;73426;73427;73793;73794;73795;73796;73797;73798;73799;73800;73801;73802;73803;73804;73805;73806;73807;73808;73809;73810;73811;73812;73813;73814;73815;73816;73817;73818;73819;73820;73821;73822;73823;73824;73825;73826;73827;73828;73829;73830;73831;73832;73833;73834;73835;73836;73837;73838;73839;73840;73841;73842;73843;73844;73845;73846;73847;76973;76974;76975;76976;76977;76978;76979;76980;76981;76982;76983;76984;76985;76986;76987;76988;76989;76990;76991;76992;76993;76994;76995;76996;76997;76998;76999;77000;77001;77002;77003;77004;77005;77006;77007;77626;77627;77628;77629;77630;77631;77632;77633;77634;77635;77636;77637;77638;77639;77640;77641;77642;77643;77644;77645;77646;77647;77648;77649;77650;77651;77652;77653;77654;77655;77656;77657;77658;77659;77660;77661;77662;77663;77664;77665;77666;77667;77668;77669;77670;77671;77672;77673;77674;77675;77676;77677;77678;77679;77680;77681;77682;77683;77684;77685;77686;77687;77688;77689;77690;77691;77692;77693;80333;80334;80335;80336;80337;80338;80339;80894;80895;80896;80897;80898;80899;80900;80901;80902;80903;80904;80905;80906;80907;80908;80909;80910;80911;80912;80913;83732;83733;83734;83735;83736;83737;83738;83739;83740;83741;83742;83743;83744;83745;83746;83747;83748;83749;83750;83751;83752;83753;83754;83755;83756;83757;83758;83759;83760;83761;83762;83763;83764;83765;83766;83767;83768;83769;83770;83771;83772;83773;83774;83775;83776;83777;83778;83779;83780;83781;91408;91409;91410;91411;91412;91413;91414;91415;91416;91417;91418;91419;91420;91421;91422;91423;91424;91425;91426;91427;91428;91429;91430;91431;91432;91433;91434;91435;91436;91437;91438;91439;91440;91441;91442;91443;91444;91445;91446;91447;91448;91449;91450;91451;91452;91453;91454;91455;91456;91457;91458;91459;91460;91461;91462;91463;91464;91465;91466;91467;91468;91469;91470;91471;91472;91473;91474;91475;91476;91477;91478;91479;91480;91481;91482;91483;91484;91485;91486;91487;91488;91489;91490;91491;91492;91493;91494;91495;91496;91497;91498;91499;91500;91501;91502;91503;91504;91505;91506;91507;91508;91509;91510;91511;91512;91513;91514;91515;91516;91517;91518;91519;91520;91521;91522;91523;91524;91525;91526;91527;91528;91529;91530;91531;91532;91533;91534;91535;91536;91537;91538;91539;91540;91541;91542;91543;91544;91545;91546;91547;91548;91549;91550;91551;91552;91553;91554;91555;91556;91557;91558;91559;91560;91561;91562;91563;91564;91565;91566;91567;91568;91569;91570;91571;91572;91573;91574;91575;91576;91577;91578;91579;91580;91581;91582;91583;91584;91585;91586;91587;91588;91589;91590;91591;91592;91593;91594;91595;91596;91597;91598;91599;91600;91601;91602;91603;91604;91605;91606;91607;91608;91609;91610;91611;91612;91613;91614;91615;91616;91617;91618;91619;91620;91621;91622;91623;91624;91625;91626;91627;91628;91629;91630;91631;91632;91633;91634;91635;91636;91637;91638;91639;91640;91641;91642;91643;91644;91645;91646;91647;91648;91649;91650;91651;91652;91653;91654;91655;91656;91657;91658;91659;91660;91661;91662;91663;91664;91665;91666;91667;91668;91669;91670;91671;91672;91673;91674;91675;91676;91677;91678;91679;91680;91681;91682;91683;91684;91685;91686;91687;91688;91689;91690;91691;91692;91693;91694;91695;91696;91697;91698;91699;91700;91701;91702;91703;91704;91705;91706;91707;91708;91709;91710;91711;91712;91713;91714;91715;91716;91717;91718;91719;91720;91721;91722;91723;91724;91725;91726;91727;91728;91729;91730;91731;91732;91733;91734;91735;91736;91737;91738;91739;91740;91741;91742;91743;91744;91745;91746;91747;91748;91749;91750;91751;91752;91753;91754;91755;91756;91757;91758;91759;91760;91761;91762;91763;91764;91765;91766;91767;91768;91769;91770;91771;91772;91773;91774;91775;91776;91777;91778;91779;91780;91781;91782;91783;91784;91785;91786;91787;91788;91789;91790;91791;91792;91793;91794;91795;91796;91797;91798;91799;91800;91801;91802;91803;91804;91805;91806;91807;91808;91809;91810;91811;91812;91813;91814;91815;91816;91817;91818;91819;91820;91821;91822;91823;91824;91825;91826;91827;91828;91829;91830;91831;91832;91833;91834;91835;91836;91837;91838;91839;91840;91841;91842;91843;91844;91845;91846;91847;91848;91849;91850;91851;91852;91853;91854;91855;91856;91857;91858;91859;91860;91861;91862;91863;91864;91865;91866;91867;91868;91869;91870;91871;91872;91873;91874;91875;91876;91877;91878;91879;91880;91881;91882;91883;91884;91885;91886;91887;91888;91889;91890;91891;91892;91893;91894;91895;91896;91897;91898;91899;91900;91901;91902;91903;91904;91905;91906;91907;91908;91909;91910;91911;91912;91913;91914;91915;91916;91917;91918;91919;91920;91921;91922;91923;91924;91925;91926;91927;91928;91929;91930;91931;91932;91933;91934;91935;91936;91937;91938;91939;91940;91941;91942;91943;91944;91945;91946;91947;91948;91949;91950;91951;91952;91953;91954;91955;91956;91957;91958;91959;91960;91961;91962;91963;91964;91965;91966;91967;91968;91969;91970;91971;91972;91973;91974;91975;91976;91977;91978;91979;91980;91981;91982;91983;91984;91985;91986;91987;91988;91989;91990;91991;91992;91993;91994;91995;91996;91997;91998;91999;92000;92001;92002;92003;92004;92005;92006;92007;92008;92009;92010;92011;92012;92013;92014;92015;92016;92017;92018;92019;92020;92021;92022;92023;92024;92025;92026;92027;92028;92029;92030;92031;92032;92033;92034;92035;92036;92037;92038;92039;92040;92041;92042;92043;92044;92045;92046;92047;92048;92049;92050;92051;92052;92053;103911;103912;103913;103914;103915;103916;103917;103918;103919;103920;103921;103922;103923;103924;103925;103926;103927;103928;103929;103930;103931;103932;103933;103934;103935;103936;103937;103938;103939;103940;103941;103942;103943;103944;103945;103946;103947;103948;103949;103950;103951;103952;108116;108117;108118;108119;108120;108121;108122;108123;108124;108125;108126;108127;108128;108129;108130;108131;108132;108133;108134;108135;108136;109180;109181;109182;109183;109184;109185;109186;109187;109188;109189;109190;109191;109192;109193;109194;109195;109196;109197;109198;109199;109200;109201;109202;109203;109204;109205;109206;109207;109208;109209;109210;109211;109212;109213;109214;109215;109216;109217;109218;109219;109220;109221;109222;109223;109224;109225;109226;109227;109228;109229;109230;109231;109232;109233;109234;109235;109236;109237;109238;109239;109240;109241;109242;109243;109244;109245;109246;109247;109248;109249;109250;109251;109252;109253;109254;109255;109256;109257;109258;109259;109260;109261;109262;109263;109264;109265;109266;109267;109268;109269;109270;109271;109272;109273;109274;109275;109276;109277;109278;109279;109280;109281;109282;109283;109284;109285;109286;109287;109288;109289;109290;109291;109292;109293;109294;109295;109296;109297;109298;109299;109300;109301;109302;109303;109304;109305;109306;109307;109308;109309;109310;109311;109312;109313;109314;109315;109316;109317;109318;109319;109320;109321;109322;109323;109324;109325;109326;109327;109328;109329;109330;109331;109332;109333;109334;109335;109336;109337;109338;109339;109340;109341;109342;109343;109344;109345;109346;109347;109348;109349;109350;109351;109352;109353;109354;109355;109356;109357;109358;109359;109360;109361;109362;109363;109364;109365;109366;109367;109368;109369;109370;109371;109372;109373;109374;109375;109376;109377;109378;109379;109380;109381;109382;109383;109384;109385;109386;109387;109388;109389;109390;109391;109392;109393;109394;109395;109396;109397;109398;109399;109400;109401;109402;109403;109404;109405;109406;109407;109408;109409;109410;109411;109412;109413;109414;109415;109416;109417;109418;109419;109420;109421;109422;109423;109424;109425;109426;109427;109428;109429;109430;109431;109432;109433;109434;109435;109436;109437;109438;109439;109440;109441;109442;109443;109444;109445;109446;109447;109448;109449;109450;109451;109452;109453;109454;109455;109456;109457;109458;109459;109460;109461;109462;109463;109464;109465;109466;109467;109468;109469;109470;109471;109472;109473;109474;109475;109476;109477;109478;109479;109480;109481;109482;109483;109484;109485;109486;109487;109488;109489;109490;109491;109492;109493;109494;109495;109496;109497;109498;109499;109500;109501;109502;109503;109504;109505;109506;109507;109508;109509;109510;109511;109512;109513;109514;109515;109516;109517;109518;109519;109520;109521;109522;109523;109524;109525;109526;109527;109528;109529;109530;109531;109532;109533;109534;109535;109536;109537;109538;109539;109540;109541;109542;109543;109544;109545;109546;109547;109548;109549;109550;109551;109552;109553;109554;109555;109556;109557;109558;109559;109560;109561;109562;109563;109564;109565;109566;109567;109568;109569;109570;109571;109572;109573;109574;109575;109576;109577;109578;109579;109580;109581;109582;109583;109584;109585;109586;109587;109588;109589;109590;109591;109592;109593;109594;109595;109596;109597;109598;109599;109600;109601;109602;109603;109604;109605;109606;109607;109608;109609;109610;109611;109612;109613;109614;109615;109616;109617;109618;109619;109620;109621;109622;109623;109624;109625,EXP18102_X1116_A_MSB37290A,SP-011-001,1,,SOURCE_BLANK
PXD017052:Sheet1:360:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,360,Sheet1!BO360,P02730;P02730-2;A0A0A0MS98,EXP18102_X1066_A_MSB37240A,SP-003-001,2,0,NUMERIC
PXD017052:Sheet1:360:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,360,Sheet1!BP360,P02730;P02730-2;A0A0A0MS98,EXP18102_X1067_A_MSB37241A,SP-003-001,1,0,NUMERIC
PXD017052:Sheet1:360:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,360,Sheet1!BQ360,P02730;P02730-2;A0A0A0MS98,EXP18102_X1068_A_MSB37242A,SP-003-001,3,0,NUMERIC
PXD017052:Sheet1:360:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,360,Sheet1!BR360,P02730;P02730-2;A0A0A0MS98,EXP18102_X1108_A_MSB37282A,SP-007-002,1,6377500,NUMERIC
PXD017052:Sheet1:360:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,360,Sheet1!BS360,P02730;P02730-2;A0A0A0MS98,EXP18102_X1109_A_MSB37283A,SP-007-002,3,20877000,NUMERIC
PXD017052:Sheet1:360:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,360,Sheet1!BT360,P02730;P02730-2;A0A0A0MS98,EXP18102_X1110_B_MSB37284B,SP-007-002,2,9083900,NUMERIC
PXD017052:Sheet1:360:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,360,Sheet1!BU360,P02730;P02730-2;A0A0A0MS98,EXP18102_X1114_A_MSB37288A,SP-011-001,3,120170000,NUMERIC
PXD017052:Sheet1:360:EXP18102_X1115_A_MSB37289A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,360,Sheet1!BV360,P02730;P02730-2;A0A0A0MS98,EXP18102_X1115_A_MSB37289A,SP-011-001,2,41058000,NUMERIC
PXD017052:Sheet1:360:EXP18102_X1116_A_MSB37290A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,360,Sheet1!BW360,P02730;P02730-2;A0A0A0MS98,EXP18102_X1116_A_MSB37290A,SP-011-001,1,62639000,NUMERIC
PXD017052:Sheet1:361:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,361,Sheet1!BO361,P02741;Q5VVP7;P02741-2;C9JRE9,EXP18102_X1066_A_MSB37240A,SP-003-001,2,28542000,NUMERIC
PXD017052:Sheet1:361:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,361,Sheet1!BP361,P02741;Q5VVP7;P02741-2;C9JRE9,EXP18102_X1067_A_MSB37241A,SP-003-001,1,41268000,NUMERIC
PXD017052:Sheet1:361:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,361,Sheet1!BQ361,P02741;Q5VVP7;P02741-2;C9JRE9,EXP18102_X1068_A_MSB37242A,SP-003-001,3,0,NUMERIC
PXD017052:Sheet1:361:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,361,Sheet1!BR361,P02741;Q5VVP7;P02741-2;C9JRE9,EXP18102_X1108_A_MSB37282A,SP-007-002,1,34299000000,NUMERIC
PXD017052:Sheet1:361:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,361,Sheet1!BS361,P02741;Q5VVP7;P02741-2;C9JRE9,EXP18102_X1109_A_MSB37283A,SP-007-002,3,33487000000,NUMERIC
PXD017052:Sheet1:361:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,361,Sheet1!BT361,P02741;Q5VVP7;P02741-2;C9JRE9,EXP18102_X1110_B_MSB37284B,SP-007-002,2,6746300000,NUMERIC
PXD017052:Sheet1:361:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,361,Sheet1!BU361,P02741;Q5VVP7;P02741-2;C9JRE9,EXP18102_X1114_A_MSB37288A,SP-011-001,3,0,NUMERIC
PXD017052:Sheet1:361:EXP18102_X1115_A_MSB37289A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,361,Sheet1!BV361,P02741;Q5VVP7;P02741-2;C9JRE9,EXP18102_X1115_A_MSB37289A,SP-011-001,2,0,NUMERIC
PXD017052:Sheet1:361:EXP18102_X1116_A_MSB37290A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,361,Sheet1!BW361,P02741;Q5VVP7;P02741-2;C9JRE9,EXP18102_X1116_A_MSB37290A,SP-011-001,1,31934000,NUMERIC
PXD017052:Sheet1:362:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,362,Sheet1!BO362,P02743,EXP18102_X1066_A_MSB37240A,SP-003-001,2,96172000,NUMERIC
PXD017052:Sheet1:362:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,362,Sheet1!BP362,P02743,EXP18102_X1067_A_MSB37241A,SP-003-001,1,84044000,NUMERIC
PXD017052:Sheet1:362:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,362,Sheet1!BQ362,P02743,EXP18102_X1068_A_MSB37242A,SP-003-001,3,77119000,NUMERIC
PXD017052:Sheet1:362:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,362,Sheet1!BR362,P02743,EXP18102_X1108_A_MSB37282A,SP-007-002,1,259070000,NUMERIC
PXD017052:Sheet1:362:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,362,Sheet1!BS362,P02743,EXP18102_X1109_A_MSB37283A,SP-007-002,3,221430000,NUMERIC
PXD017052:Sheet1:362:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,362,Sheet1!BT362,P02743,EXP18102_X1110_B_MSB37284B,SP-007-002,2,311810000,NUMERIC
PXD017052:Sheet1:362:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,362,Sheet1!BU362,P02743,EXP18102_X1114_A_MSB37288A,SP-011-001,3,93734000,NUMERIC
PXD017052:Sheet1:362:EXP18102_X1115_A_MSB37289A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,362,Sheet1!BV362,P02743,EXP18102_X1115_A_MSB37289A,SP-011-001,2,115400000,NUMERIC
PXD017052:Sheet1:362:EXP18102_X1116_A_MSB37290A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,362,Sheet1!BW362,P02743,EXP18102_X1116_A_MSB37290A,SP-011-001,1,99277000,NUMERIC
PXD017052:Sheet1:363:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,363,Sheet1!BO363,P02745,EXP18102_X1066_A_MSB37240A,SP-003-001,2,2787200000,NUMERIC
PXD017052:Sheet1:363:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,363,Sheet1!BP363,P02745,EXP18102_X1067_A_MSB37241A,SP-003-001,1,3153900000,NUMERIC
PXD017052:Sheet1:363:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,363,Sheet1!BQ363,P02745,EXP18102_X1068_A_MSB37242A,SP-003-001,3,2694600000,NUMERIC
PXD017052:Sheet1:363:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,363,Sheet1!BR363,P02745,EXP18102_X1108_A_MSB37282A,SP-007-002,1,90946000,NUMERIC
PXD017052:Sheet1:363:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,363,Sheet1!BS363,P02745,EXP18102_X1109_A_MSB37283A,SP-007-002,3,78285000,NUMERIC
PXD017052:Sheet1:363:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,363,Sheet1!BT363,P02745,EXP18102_X1110_B_MSB37284B,SP-007-002,2,254770000,NUMERIC
PXD017052:Sheet1:363:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,363,Sheet1!BU363,P02745,EXP18102_X1114_A_MSB37288A,SP-011-001,3,420200000,NUMERIC
PXD017052:Sheet1:363:EXP18102_X1115_A_MSB37289A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,363,Sheet1!BV363,P02745,EXP18102_X1115_A_MSB37289A,SP-011-001,2,388470000,NUMERIC
PXD017052:Sheet1:363:EXP18102_X1116_A_MSB37290A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,363,Sheet1!BW363,P02745,EXP18102_X1116_A_MSB37290A,SP-011-001,1,374580000,NUMERIC
PXD017052:Sheet1:364:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,364,Sheet1!BO364,P02747,EXP18102_X1066_A_MSB37240A,SP-003-001,2,12997000000,NUMERIC
PXD017052:Sheet1:364:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,364,Sheet1!BP364,P02747,EXP18102_X1067_A_MSB37241A,SP-003-001,1,16671000000,NUMERIC
PXD017052:Sheet1:364:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,364,Sheet1!BQ364,P02747,EXP18102_X1068_A_MSB37242A,SP-003-001,3,22582000000,NUMERIC
PXD017052:Sheet1:364:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,364,Sheet1!BR364,P02747,EXP18102_X1108_A_MSB37282A,SP-007-002,1,475860000,NUMERIC
PXD017052:Sheet1:364:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,364,Sheet1!BS364,P02747,EXP18102_X1109_A_MSB37283A,SP-007-002,3,495680000,NUMERIC
PXD017052:Sheet1:364:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,364,Sheet1!BT364,P02747,EXP18102_X1110_B_MSB37284B,SP-007-002,2,472320000,NUMERIC
PXD017052:Sheet1:364:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,364,Sheet1!BU364,P02747,EXP18102_X1114_A_MSB37288A,SP-011-001,3,1062500000,NUMERIC
PXD017052:Sheet1:364:EXP18102_X1115_A_MSB37289A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,364,Sheet1!BV364,P02747,EXP18102_X1115_A_MSB37289A,SP-011-001,2,1205800000,NUMERIC
PXD017052:Sheet1:364:EXP18102_X1116_A_MSB37290A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,364,Sheet1!BW364,P02747,EXP18102_X1116_A_MSB37290A,SP-011-001,1,1174700000,NUMERIC
PXD017052:Sheet1:365:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,365,Sheet1!BO365,P02748;CON__Q3MHN2,EXP18102_X1066_A_MSB37240A,SP-003-001,2,484170000,NUMERIC
PXD017052:Sheet1:365:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,365,Sheet1!BP365,P02748;CON__Q3MHN2,EXP18102_X1067_A_MSB37241A,SP-003-001,1,454850000,NUMERIC
PXD017052:Sheet1:365:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,365,Sheet1!BQ365,P02748;CON__Q3MHN2,EXP18102_X1068_A_MSB37242A,SP-003-001,3,424990000,NUMERIC
PXD017052:Sheet1:365:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,365,Sheet1!BR365,P02748;CON__Q3MHN2,EXP18102_X1108_A_MSB37282A,SP-007-002,1,17304000000,NUMERIC
PXD017052:Sheet1:365:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,365,Sheet1!BS365,P02748;CON__Q3MHN2,EXP18102_X1109_A_MSB37283A,SP-007-002,3,16540000000,NUMERIC
PXD017052:Sheet1:365:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,365,Sheet1!BT365,P02748;CON__Q3MHN2,EXP18102_X1110_B_MSB37284B,SP-007-002,2,16871000000,NUMERIC
PXD017052:Sheet1:365:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,365,Sheet1!BU365,P02748;CON__Q3MHN2,EXP18102_X1114_A_MSB37288A,SP-011-001,3,726730000,NUMERIC
PXD017052:Sheet1:365:EXP18102_X1115_A_MSB37289A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,365,Sheet1!BV365,P02748;CON__Q3MHN2,EXP18102_X1115_A_MSB37289A,SP-011-001,2,764850000,NUMERIC
PXD017052:Sheet1:365:EXP18102_X1116_A_MSB37290A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,365,Sheet1!BW365,P02748;CON__Q3MHN2,EXP18102_X1116_A_MSB37290A,SP-011-001,1,647200000,NUMERIC
PXD017052:Sheet1:366:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,366,Sheet1!BO366,P02749;CON__P17690,EXP18102_X1066_A_MSB37240A,SP-003-001,2,735410000,NUMERIC
PXD017052:Sheet1:366:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,366,Sheet1!BP366,P02749;CON__P17690,EXP18102_X1067_A_MSB37241A,SP-003-001,1,317930000,NUMERIC
PXD017052:Sheet1:366:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,366,Sheet1!BQ366,P02749;CON__P17690,EXP18102_X1068_A_MSB37242A,SP-003-001,3,441950000,NUMERIC
PXD017052:Sheet1:366:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,366,Sheet1!BR366,P02749;CON__P17690,EXP18102_X1108_A_MSB37282A,SP-007-002,1,376830000,NUMERIC
PXD017052:Sheet1:366:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,366,Sheet1!BS366,P02749;CON__P17690,EXP18102_X1109_A_MSB37283A,SP-007-002,3,111700000,NUMERIC
PXD017052:Sheet1:366:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,366,Sheet1!BT366,P02749;CON__P17690,EXP18102_X1110_B_MSB37284B,SP-007-002,2,73386000,NUMERIC
PXD017052:Sheet1:366:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,366,Sheet1!BU366,P02749;CON__P17690,EXP18102_X1114_A_MSB37288A,SP-011-001,3,606890000,NUMERIC
PXD017052:Sheet1:366:EXP18102_X1115_A_MSB37289A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,366,Sheet1!BV366,P02749;CON__P17690,EXP18102_X1115_A_MSB37289A,SP-011-001,2,743460000,NUMERIC
